,Categoria,Serie,Series_2,Valor
10,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201203,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",2
11,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201204,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
12,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201301,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",0
13,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201302,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",0
14,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201303,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
15,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201304,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",2
16,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201401,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
17,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201402,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
18,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201403,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",3
19,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201404,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",4
20,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201501,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",12
21,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201502,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",-2
22,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201503,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",-1
23,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201504,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",0
24,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201601,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",33
25,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201602,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",0
26,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201603,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
27,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201604,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",5
28,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201701,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",6
29,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201702,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",10
30,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201703,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",8
31,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201704,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",12
32,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201801,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1329
33,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201802,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",35
34,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201803,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",33
35,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201804,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",398
